No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
127,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
128,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
129,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
130,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
131,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
132,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
133,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
134,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
135,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
136,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
137,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
138,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
139,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
140,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
141,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
142,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
143,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
144,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
145,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
146,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
147,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
148,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
149,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
150,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
151,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
152,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
153,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
154,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
155,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
156,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
157,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
158,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
